episode,strategy,step,tls_id,chosen_phase,transition_needed,avg_incoming_speed,avg_outgoing_speed,local_avg_speed,global_avg_speed,num_vehicles
0,1,0,global,,,,,,14.41799654202174,100
0,1,0,0,2.0,False,11.176377149129802,13.88689121208811,12.531634180608956,14.41799654202174,100
0,1,0,1,2.0,True,9.847119813200926,10.513559450872314,10.18033963203662,14.41799654202174,100
0,1,0,2,2.0,True,11.778726577481036,14.005498543621457,12.892112560551247,14.41799654202174,100
0,1,0,3,2.0,False,11.072253716846715,13.126037604526148,12.099145660686432,14.41799654202174,100
0,1,0,4,2.0,True,9.178924874539668,10.433453188759756,9.806189031649712,14.41799654202174,100
0,1,0,5,2.0,False,11.099868281814327,13.376357596382089,12.238112939098208,14.41799654202174,100
0,1,0,6,2.0,False,10.805003001787703,12.405644709607309,11.605323855697506,14.41799654202174,100
0,1,0,7,2.0,False,9.62354160551158,12.178288741212064,10.900915173361822,14.41799654202174,100
0,1,0,8,2.0,True,10.649177684672603,12.048935075835157,11.34905638025388,14.41799654202174,100
0,1,0,9,2.0,False,10.485050398208987,12.711269807010261,11.598160102609624,14.41799654202174,100
0,1,0,10,2.0,False,8.53250801993248,12.007431675330588,10.269969847631534,14.41799654202174,100
0,1,0,11,2.0,False,9.972719988955525,11.139924539056063,10.556322264005793,14.41799654202174,100
0,1,0,12,2.0,False,12.970464425958049,14.473138909165467,13.721801667561758,14.41799654202174,100
0,1,0,13,2.0,False,11.247542285524778,12.158775039509905,11.703158662517342,14.41799654202174,100
0,1,0,14,2.0,True,9.10445036646134,9.254605860694967,9.179528113578154,14.41799654202174,100
0,1,0,15,2.0,False,11.044210490436292,11.606704436410983,11.325457463423637,14.41799654202174,100
0,1,0,16,2.0,False,12.671335677619195,16.460279761880678,14.565807719749937,14.41799654202174,100
0,1,0,17,2.0,False,6.800596604338898,11.750578195817333,9.275587400078116,14.41799654202174,100
0,1,0,18,2.0,False,10.353975453692922,11.774964497896313,11.064469975794617,14.41799654202174,100
0,1,0,19,2.0,False,8.926217570050602,11.730685458374076,10.32845151421234,14.41799654202174,100
0,1,0,20,2.0,True,9.286447561026494,11.40514017698962,10.345793869008057,14.41799654202174,100
0,1,0,21,2.0,True,9.996832965404293,14.45924029080973,12.228036628107011,14.41799654202174,100
0,1,0,22,2.0,False,9.561250728545836,14.211953166575583,11.88660194756071,14.41799654202174,100
0,1,0,23,2.0,False,11.897630264816245,14.321196871330617,13.109413568073432,14.41799654202174,100
0,1,0,24,2.0,False,9.254340327355292,14.048792592650825,11.651566460003059,14.41799654202174,100
0,1,15,global,,,,,,13.843123552499465,102
0,1,15,0,2.0,False,12.719193566272434,13.27980188558818,12.999497725930308,13.843123552499465,102
0,1,15,1,2.0,True,9.15630966728374,13.258169843106817,11.207239755195278,13.843123552499465,102
0,1,15,2,2.0,True,7.702114811139554,12.280817306685945,9.99146605891275,13.843123552499465,102
0,1,15,3,2.0,True,12.088092455276502,14.883955480378258,13.48602396782738,13.843123552499465,102
0,1,15,4,2.0,False,11.0376526820392,13.763612215044201,12.4006324485417,13.843123552499465,102
0,1,15,5,2.0,False,8.874841567026817,13.832386549264477,11.353614058145647,13.843123552499465,102
0,1,15,6,2.0,True,8.08325645870531,12.351157001958144,10.217206730331728,13.843123552499465,102
0,1,15,7,2.0,True,8.40531976777916,12.691697062854171,10.548508415316665,13.843123552499465,102
0,1,15,8,2.0,True,13.446685843377455,14.865497140341244,14.15609149185935,13.843123552499465,102
0,1,15,9,2.0,True,12.519620162671071,15.890807818352384,14.205213990511727,13.843123552499465,102
0,1,15,10,2.0,False,12.827596409011797,13.715636734630259,13.271616571821028,13.843123552499465,102
0,1,15,11,2.0,False,13.194373563686279,12.69754739581125,12.945960479748765,13.843123552499465,102
0,1,15,12,2.0,True,10.47274350744205,11.44323450714757,10.95798900729481,13.843123552499465,102
0,1,15,13,2.0,True,9.158462044622492,12.986713243428447,11.07258764402547,13.843123552499465,102
0,1,15,14,2.0,False,9.136697369472568,13.908910541891771,11.52280395568217,13.843123552499465,102
0,1,15,15,2.0,True,10.68179720929637,14.6440843217817,12.662940765539034,13.843123552499465,102
0,1,15,16,2.0,False,11.370829567275585,14.06866419314937,12.719746880212478,13.843123552499465,102
0,1,15,17,2.0,False,11.018370256465868,15.506160684484891,13.26226547047538,13.843123552499465,102
0,1,15,18,2.0,False,8.65600402371625,13.473688376510417,11.064846200113333,13.843123552499465,102
0,1,15,19,2.0,False,10.299977779066014,10.59001930902527,10.444998544045642,13.843123552499465,102
0,1,15,20,2.0,False,11.753972596611458,13.508915915717463,12.63144425616446,13.843123552499465,102
0,1,15,21,2.0,False,9.677870602464704,10.217773055447381,9.947821828956043,13.843123552499465,102
0,1,15,22,2.0,True,11.824930484248354,12.77568509457523,12.300307789411793,13.843123552499465,102
0,1,15,23,2.0,True,11.472045305396739,11.809811646186409,11.640928475791574,13.843123552499465,102
0,1,15,24,2.0,False,11.10092023993938,14.852582395181912,12.976751317560646,13.843123552499465,102
0,1,30,global,,,,,,14.055372639584222,104
0,1,30,0,2.0,False,9.603263346542558,13.235259474940161,11.41926141074136,14.055372639584222,104
0,1,30,1,2.0,True,6.924505421323938,12.30804346862833,9.616274444976135,14.055372639584222,104
0,1,30,2,2.0,False,10.161625291018773,12.18139776944475,11.171511530231761,14.055372639584222,104
0,1,30,3,2.0,True,8.290527897375732,14.291211649001866,11.290869773188799,14.055372639584222,104
0,1,30,4,2.0,False,10.047199457664842,12.581061346102183,11.314130401883514,14.055372639584222,104
0,1,30,5,2.0,False,10.088188497451043,11.514552711185,10.801370604318022,14.055372639584222,104
0,1,30,6,2.0,False,12.633558909129878,16.137215913966664,14.38538741154827,14.055372639584222,104
0,1,30,7,2.0,True,8.803168341000593,12.931102141847369,10.86713524142398,14.055372639584222,104
0,1,30,8,2.0,False,8.978687455185284,9.367007557890119,9.172847506537702,14.055372639584222,104
0,1,30,9,2.0,True,10.148744948200909,11.297894602712756,10.723319775456833,14.055372639584222,104
0,1,30,10,2.0,True,9.583027426630796,11.567069309584511,10.575048368107653,14.055372639584222,104
0,1,30,11,2.0,True,8.459514564279601,11.299741945489652,9.879628254884626,14.055372639584222,104
0,1,30,12,2.0,False,9.91515567368177,12.376028762135581,11.145592217908675,14.055372639584222,104
0,1,30,13,2.0,True,11.648997883715376,13.978374179592626,12.813686031654,14.055372639584222,104
0,1,30,14,2.0,False,10.400379873215666,14.5226953051585,12.461537589187083,14.055372639584222,104
0,1,30,15,2.0,True,9.166158416778998,11.774750483293523,10.47045445003626,14.055372639584222,104
0,1,30,16,2.0,False,9.897429935544187,12.148636133875554,11.02303303470987,14.055372639584222,104
0,1,30,17,2.0,False,10.127958064101854,9.486748718722733,9.807353391412294,14.055372639584222,104
0,1,30,18,2.0,False,10.585151969964606,14.761476981091246,12.673314475527926,14.055372639584222,104
0,1,30,19,2.0,True,11.154193925222959,11.546077841519036,11.350135883370998,14.055372639584222,104
0,1,30,20,2.0,True,8.938836902443944,11.062207423611472,10.000522163027707,14.055372639584222,104
0,1,30,21,2.0,False,8.293602585273224,11.631119335615114,9.962360960444169,14.055372639584222,104
0,1,30,22,2.0,False,9.556557099215631,13.755643122619233,11.656100110917432,14.055372639584222,104
0,1,30,23,2.0,True,9.741859315426133,11.509236781533673,10.625548048479903,14.055372639584222,104
0,1,30,24,2.0,False,9.132085450503347,12.799536849599676,10.965811150051511,14.055372639584222,104
0,1,45,global,,,,,,14.79434924753525,106
0,1,45,0,2.0,False,10.419926477957342,11.437903574487866,10.928915026222604,14.79434924753525,106
0,1,45,1,2.0,True,10.269152576520058,13.194978023439417,11.732065299979737,14.79434924753525,106
0,1,45,2,2.0,True,9.30844494820516,8.614039423640435,8.961242185922798,14.79434924753525,106
0,1,45,3,2.0,False,9.171701659904478,10.313280672479712,9.742491166192096,14.79434924753525,106
0,1,45,4,2.0,True,9.375283793531983,15.345433061501186,12.360358427516584,14.79434924753525,106
0,1,45,5,2.0,True,13.582993148516028,13.732637419436523,13.657815283976277,14.79434924753525,106
0,1,45,6,2.0,False,9.513021087185328,12.210703581164811,10.861862334175068,14.79434924753525,106
0,1,45,7,2.0,False,9.103290078325802,11.225949322240718,10.16461970028326,14.79434924753525,106
0,1,45,8,2.0,False,10.782072188160932,14.459479686427764,12.620775937294347,14.79434924753525,106
0,1,45,9,2.0,True,8.975843566392891,13.374052182150596,11.174947874271744,14.79434924753525,106
0,1,45,10,2.0,True,7.257169384348613,10.89529939372378,9.076234389036197,14.79434924753525,106
0,1,45,11,2.0,False,9.307054750035103,10.899526712800219,10.103290731417662,14.79434924753525,106
0,1,45,12,2.0,False,9.716383621908275,12.016249537970564,10.866316579939419,14.79434924753525,106
0,1,45,13,2.0,False,10.714811377962175,13.530503005602341,12.122657191782258,14.79434924753525,106
0,1,45,14,2.0,False,9.916887850731733,13.631065111579161,11.773976481155447,14.79434924753525,106
0,1,45,15,2.0,True,9.816660295847704,12.794070457200881,11.305365376524293,14.79434924753525,106
0,1,45,16,2.0,True,13.131966043927711,15.757023124723965,14.444494584325838,14.79434924753525,106
0,1,45,17,2.0,False,9.409198165516306,12.26214537560332,10.835671770559813,14.79434924753525,106
0,1,45,18,2.0,False,11.521987456471031,13.196943638414332,12.359465547442682,14.79434924753525,106
0,1,45,19,2.0,True,10.761216027204307,15.667646426733864,13.214431226969086,14.79434924753525,106
0,1,45,20,2.0,False,9.67249787033087,13.103706201470631,11.38810203590075,14.79434924753525,106
0,1,45,21,2.0,False,11.856793621577488,15.33911101518098,13.597952318379235,14.79434924753525,106
0,1,45,22,2.0,False,12.18467271311469,16.890583886965256,14.537628300039973,14.79434924753525,106
0,1,45,23,2.0,False,9.080892476469936,11.584845270388692,10.332868873429314,14.79434924753525,106
0,1,45,24,2.0,True,8.605510129195402,11.845706100445543,10.225608114820472,14.79434924753525,106
0,1,60,global,,,,,,13.26916418157389,108
0,1,60,0,2.0,True,13.543000690964899,16.58961269224179,15.066306691603344,13.26916418157389,108
0,1,60,1,2.0,False,13.48458767936907,13.61362429241692,13.549105985892997,13.26916418157389,108
0,1,60,2,2.0,True,10.37542625517047,13.336836733833273,11.856131494501872,13.26916418157389,108
0,1,60,3,2.0,False,11.494490424044683,16.07443245735342,13.78446144069905,13.26916418157389,108
0,1,60,4,2.0,False,12.36929891889054,11.534823050269328,11.952060984579933,13.26916418157389,108
0,1,60,5,2.0,False,8.113649100833802,12.383942647375882,10.248795874104843,13.26916418157389,108
0,1,60,6,2.0,True,8.85032375206371,10.730545245560936,9.790434498812324,13.26916418157389,108
0,1,60,7,2.0,False,7.82141703864714,10.061199731988856,8.941308385317997,13.26916418157389,108
0,1,60,8,2.0,False,10.161424661953134,11.666234739738783,10.913829700845959,13.26916418157389,108
0,1,60,9,2.0,False,9.182750080898415,11.418739515566365,10.30074479823239,13.26916418157389,108
0,1,60,10,2.0,True,11.793021116496035,14.817127381888882,13.305074249192458,13.26916418157389,108
0,1,60,11,2.0,True,8.367620042224,11.016044911350225,9.691832476787113,13.26916418157389,108
0,1,60,12,2.0,False,10.437998557010065,12.255533135963281,11.346765846486672,13.26916418157389,108
0,1,60,13,2.0,False,9.932120124652915,12.272581995818877,11.102351060235897,13.26916418157389,108
0,1,60,14,2.0,True,8.546152064580205,12.312954574300779,10.429553319440492,13.26916418157389,108
0,1,60,15,2.0,True,9.175292049594477,10.293483292072032,9.734387670833254,13.26916418157389,108
0,1,60,16,2.0,False,10.3413469866779,11.199614733364745,10.770480860021323,13.26916418157389,108
0,1,60,17,2.0,False,12.481192483175121,14.768363196717916,13.624777839946518,13.26916418157389,108
0,1,60,18,2.0,True,10.963839314593756,15.119092798042383,13.041466056318068,13.26916418157389,108
0,1,60,19,2.0,True,13.553434749632096,14.331441094606056,13.942437922119076,13.26916418157389,108
0,1,60,20,2.0,True,10.725459587431953,15.546756218193163,13.136107902812558,13.26916418157389,108
0,1,60,21,2.0,True,8.242045528296796,11.629782656592068,9.935914092444431,13.26916418157389,108
0,1,60,22,2.0,False,9.27261737030457,12.561630171240099,10.917123770772335,13.26916418157389,108
0,1,60,23,2.0,False,11.609031771262208,15.57029384787097,13.589662809566589,13.26916418157389,108
0,1,60,24,2.0,True,8.146711431803237,11.044335308869258,9.595523370336247,13.26916418157389,108
0,1,75,global,,,,,,14.45067063691657,110
0,1,75,0,2.0,False,12.597077183240506,15.018897159812331,13.807987171526419,14.45067063691657,110
0,1,75,1,2.0,True,10.100071110145041,15.816320002461627,12.958195556303334,14.45067063691657,110
0,1,75,2,2.0,True,6.524219309846849,9.347845240229208,7.936032275038029,14.45067063691657,110
0,1,75,3,2.0,False,10.300866295126191,13.298150043692265,11.79950816940923,14.45067063691657,110
0,1,75,4,2.0,True,7.879753196684874,10.93998683054049,9.409870013612682,14.45067063691657,110
0,1,75,5,2.0,False,7.070695239038671,9.19577312835805,8.133234183698361,14.45067063691657,110
0,1,75,6,2.0,True,10.873479301891692,12.500301270439769,11.686890286165731,14.45067063691657,110
0,1,75,7,2.0,False,7.509541248703699,12.237288840869583,9.873415044786642,14.45067063691657,110
0,1,75,8,2.0,True,10.518970705064113,12.25103703267375,11.385003868868932,14.45067063691657,110
0,1,75,9,2.0,False,10.349314215390283,11.79699276831981,11.073153491855047,14.45067063691657,110
0,1,75,10,2.0,False,9.44113549015558,13.191577749542539,11.31635661984906,14.45067063691657,110
0,1,75,11,2.0,False,8.490324808681915,12.85242270049566,10.671373754588789,14.45067063691657,110
0,1,75,12,2.0,False,8.297439690564392,14.349127825397565,11.323283757980978,14.45067063691657,110
0,1,75,13,2.0,False,11.184276474796025,14.342696626957066,12.763486550876546,14.45067063691657,110
0,1,75,14,2.0,True,9.649837359037907,15.98233600144695,12.816086680242428,14.45067063691657,110
0,1,75,15,2.0,False,9.590902418707307,9.619450878088418,9.605176648397862,14.45067063691657,110
0,1,75,16,2.0,False,7.799148056575489,10.604138512151975,9.201643284363731,14.45067063691657,110
0,1,75,17,2.0,False,10.159978725836577,9.496074107159346,9.828026416497963,14.45067063691657,110
0,1,75,18,2.0,True,11.335164744946011,13.063910058794315,12.199537401870163,14.45067063691657,110
0,1,75,19,2.0,False,7.099121710025791,10.737233172021709,8.91817744102375,14.45067063691657,110
0,1,75,20,2.0,True,11.9986496937263,12.784439707160804,12.391544700443552,14.45067063691657,110
0,1,75,21,2.0,True,9.007441324782707,9.602650065366106,9.305045695074407,14.45067063691657,110
0,1,75,22,2.0,False,6.8945757685947795,9.594123767544325,8.244349768069553,14.45067063691657,110
0,1,75,23,2.0,False,6.419252176662731,9.90261405999809,8.16093311833041,14.45067063691657,110
0,1,75,24,2.0,True,7.017049577185987,10.78091192684729,8.898980752016639,14.45067063691657,110
0,1,90,global,,,,,,13.78569773474453,112
0,1,90,0,2.0,False,12.541543733171316,15.715642283585831,14.128593008378573,13.78569773474453,112
0,1,90,1,2.0,True,11.568407931347759,13.34996366620339,12.459185798775575,13.78569773474453,112
0,1,90,2,2.0,True,12.151589269626273,13.999357794714783,13.075473532170527,13.78569773474453,112
0,1,90,3,2.0,True,8.451409060771425,11.956968389098662,10.204188724935044,13.78569773474453,112
0,1,90,4,2.0,False,11.460971631373054,13.166640829356645,12.31380623036485,13.78569773474453,112
0,1,90,5,2.0,True,12.632283285114768,14.986919825304076,13.809601555209422,13.78569773474453,112
0,1,90,6,2.0,False,9.06856426201637,9.460802131146703,9.264683196581537,13.78569773474453,112
0,1,90,7,2.0,False,9.732365541706834,10.28867263602037,10.010519088863603,13.78569773474453,112
0,1,90,8,2.0,True,11.318820395109073,12.616990849246058,11.967905622177565,13.78569773474453,112
0,1,90,9,2.0,False,6.63413886659104,9.969038942485824,8.301588904538432,13.78569773474453,112
0,1,90,10,2.0,False,8.72206134039249,13.72564967004794,11.223855505220214,13.78569773474453,112
0,1,90,11,2.0,False,12.592280357346697,12.522048293344305,12.5571643253455,13.78569773474453,112
0,1,90,12,2.0,False,10.724092134535919,13.591728809899859,12.157910472217889,13.78569773474453,112
0,1,90,13,2.0,False,11.443233203770223,11.7318195175161,11.587526360643162,13.78569773474453,112
0,1,90,14,2.0,False,9.306336244288634,13.473475214661407,11.389905729475021,13.78569773474453,112
0,1,90,15,2.0,True,11.190216321800044,12.042324494058953,11.616270407929498,13.78569773474453,112
0,1,90,16,2.0,True,11.269632604133811,14.415950920133678,12.842791762133745,13.78569773474453,112
0,1,90,17,2.0,False,11.50976409790444,14.5036199121847,13.00669200504457,13.78569773474453,112
0,1,90,18,2.0,False,9.718968524122253,15.95757636636916,12.838272445245707,13.78569773474453,112
0,1,90,19,2.0,True,9.738018346108783,13.376943274725171,11.557480810416976,13.78569773474453,112
0,1,90,20,2.0,True,11.474608527515976,16.571359581544677,14.022984054530326,13.78569773474453,112
0,1,90,21,2.0,False,9.314548269372363,13.356854414898768,11.335701342135565,13.78569773474453,112
0,1,90,22,2.0,False,12.447644160029814,14.327876771912996,13.387760465971404,13.78569773474453,112
0,1,90,23,2.0,False,13.674977713759677,12.857335764251243,13.26615673900546,13.78569773474453,112
0,1,90,24,2.0,False,12.314394806815852,15.264002014400791,13.789198410608321,13.78569773474453,112
0,1,105,global,,,,,,13.239117417348181,114
0,1,105,0,2.0,True,9.95146062549813,15.1603006508161,12.555880638157115,13.239117417348181,114
